location|latitude|longitude
1221 South Lamar Street|32.7682921|-96.7974259
13030 Audelia Road|32.9243446|-96.7175216
13739 North Central Expressway|32.9367395|-96.75225859999999
1550 Empire Central|32.825673|-96.864407
208 Glencairn Drive|32.657701|-96.824975
2728 Mc Kinnon Street|32.7946052|-96.8069335
3000 Lantana Lane|32.6955311|-96.7641836
3314 West Camp Wisdom Road|32.6618939|-96.875534
3647 Espanola Drive|32.8686239|-96.85685
400 South Rosemont Avenue|32.7417673|-96.84787349999999
4200 Elmira Street|32.7770852|-96.7135502
4800 Veterans Drive|32.69298|-96.781674
4807 Maple Avenue|32.814471|-96.82696399999999
500 South Llewellyn Avenue|32.7412581|-96.8321363
6048 Belmont Avenue|32.817329|-96.76187829999999
6185 Retail Road|32.8628455|-96.7545397
7921 Lyndon B Johnson Freeway|32.8563991|-96.64833709999999
8124 Forest Lane|32.9088858|-96.7640856
9000 Lake June Road|32.733847|-96.66526359999999
9770 Forest Lane|32.90913920000001|-96.7187245
