location|latitude|longitude
2728 McKinnon Street|32.7946052|-96.8069335
13030 Audelia Road|32.9243446|-96.7175216
4200 Elmira Street|32.7770852|-96.7135502
1221 S. Lamar Street|32.7682921|-96.7974259
3314 W. Camp Wisdom Road|32.6618939|-96.875534
6048 Belmont Avenue|32.817329|-96.76187829999999
8124 Forest Lane|32.9088858|-96.7640856
208 Glencairn Drive|32.657701|-96.824975
3000 Lantana Lane|32.6955311|-96.7641836
500 S. Llewellyn Avenue|32.7412581|-96.8321363
400 S. Rosemont Avenue|32.7417673|-96.84787349999999
3647 Espanola Drive|32.8686239|-96.85685
7921 LBJ Freeway|32.8563991|-96.64833709999999
4800 Veterans Drive|32.69298|-96.781674
9000 Lake June Road|32.733847|-96.66526359999999
13739 N. Central Expressway|32.9367395|-96.75225859999999
1550 Empire Central|32.825673|-96.864407
4807 Maple Avenue|32.814471|-96.82696399999999
9770 Forest Lane|32.90913920000001|-96.7187245
6185 Retail Road|32.8628455|-96.7545397
1515 S. Buckner Boulevard|32.7380615|-96.6838211
4322 Fernwood Avenue|32.694491|-96.79777
6500 Skillman Street|32.8644823|-96.7432348
3000 Chihuahua Street|32.7785318|-96.84561699999999
3303 Southern Oaks Boulevard|32.720163|-96.772059
2208 W. Northwest Highway|32.8637872|-96.8990069
9147 Skillman Street|32.902285|-96.717424
534 Sunset Avenue|32.7439676|-96.8317582
12100 Bellafonte Drive|32.9132966|-96.7615086
3600 Bolivar Drive|32.8652463|-96.8582345
8943 Senate Street|32.7994236|-96.6912553
2310 Martin Luther King Jr. Blvd|32.7643874|-96.77303900000001
1639 Conner Drive|32.740732|-96.681455
4600 Haverwood Lane|33.0072641|-96.82890250000001
8000 C. F. Hawn Freeway|32.714033|-96.684714
2825 Oak Lawn Avenue|32.8078753|-96.810574
10316 Sandra Lynn Drive|32.838289|-96.65628699999999
1339 Morrell Avenue|32.739419|-96.803876
222 N. Barnett Avenue|32.7472179|-96.87102399999999
9452 Crimnson Court|32.669247|-96.66274899999999
1524 E. Missouri Avenue|32.717745|-96.80203399999999
9524 Military Parkway|32.76800850000001|-96.6583294
2209 Northwest Highway|32.8644903|-96.8982765
3800 Dilido Road|32.7984992|-96.6881925
14655 Preston Road|32.9477198|-96.804566
8400 Scyene Road|32.763038|-96.676439
7600 S.M. Wright Freeway|32.7200519|-96.7578802
4220 Independence Drive|32.6610281|-96.88986919999999
12700 Kleberg Road|32.67207|-96.62018499999999
7800 Dasch Street|32.7217837|-96.6883525
7728 S. Loop 12|32.711986|-96.6893769
8701 Greenmound Avenue|32.7506674|-96.67267489999999
3500 McKinney Avenue|32.8058623|-96.79833099999999
7340 Skillman Street|32.8825949|-96.7342164
3050 W. Pentagon Parkway|32.7061385|-96.8702466
9830 Chapel Creek Circle # 107|41.4942809|-90.7108583
900 E. McVey Avenue|32.7095546|-96.8121465
7500 Gayglen Drive|32.7097788|-96.6931299
8307 Meadow Road|32.8879096|-96.7616039
4811 Duncanville Road|32.6859332|-96.91078290000002
6300 C.F. Hawn Freeway|32.7369642|-96.7161507
6950 Marvin D. Love Freeway|32.66322|-96.867496
11819 Webb Chapel Road|32.9104375|-96.874471
5757 Preston View Boulevard|32.9348702|-96.8085282
2242 Zang Boulevard South|32.7208691|-96.829557
1750 Regal Row|32.8363166|-96.8708386
4515 Village Fair Drive|32.6920497|-96.82886359999999
5813 Bonnie View Road|32.6784481|-96.7645849
Handgun|32.8883349|-96.7009111
900 Bayonne Street|32.7757105|-96.8369961
3900 N. Hampton Road|32.7896948|-96.8560907
4122 Rawlins Street|32.814779|-96.81059499999999
325 Cadiz Street|32.7675528|-96.80256949999999
5146 Vandelia Street #101|32.822487|-96.823853
2287 W. Northwest Highway|32.862641|-96.8911229
4100 Garrison Street|32.7039862|-96.7876387
2400 Walnut Hill Lane|32.8810081|-96.8980336
8600 Cherry Brook Street|32.7387369|-96.6732463
2800 N. St. Augustine Drive|32.7593017|-96.6568516
4900 Eastside Avenue|32.7941641|-96.7624151
500 Steeger Drive Duncanville, Texas|32.656871|-96.9206919
2514 Tristian Court|32.717996|-96.910693
2415 Madera Street|32.815954|-96.7786239
400 Sunset Avenue|32.743962|-96.828463
7442 Chesterfield Drive|32.656329|-96.8697929
2800 Indiana Street|32.7853923|-96.7838281
9850 Whitehurst Drive|32.8996555|-96.7249978
5423 Peterson Lane #259|32.931488|-96.81434899999999
200 S Madison Avenue|32.7441357|-96.8264688
1228 Oak Park Drive|32.688844|-96.844421
10200 Walton Walker Boulevard|32.7780382|-96.91630959999999
10834 Ferguson Road|32.8438082|-96.66295749999999
6512 South Loop 12|32.711874|-96.706935
2700 Springdale Street|32.7685922|-96.75092629999999
5500 Bernal Drive|32.7770346|-96.90994599999999
2208 N. Carroll Avenue|32.80637180000001|-96.7845001
4843 Haas Drive|32.699848|-96.765901
9711 Pinehurst Lane|32.765282|-96.6544289
2711 Exline Street|32.7578234|-96.7573089
1700 Martin Luther King Jr. Boulevard|32.7619939|-96.776683
4515 Village Fair Place|32.6894104|-96.82824719999999
7740 McCallum Boulevard|32.98768280000001|-96.7728544
2600 Grand Avenue|32.7697398|-96.7738565
3847 Timberglen Road, #3116|33.0050233|-96.84750179999999
7000 Lake June Road|32.7342515|-96.7018652
4023 Bernal Drive|32.7913356|-96.88735419999999
5400 E. R.L. Thornton Freeway|32.7918546|-96.7477184
8131 L.B.J. Freeway|32.8590467|-96.7234623
7900 S. Loop 12|32.712923|-96.68530600000001
5400 Bonita Avenue|32.8181964|-96.77740039999999
1200 Shaw Street|32.7855003|-96.84114300000002
5820 Martel Avenue #223|32.831089|-96.76717699999999
1818 N. Akard Street|32.786698|-96.801885
9100 Stone Creek Place|32.9056269|-96.74716920000002
200 S. Stemmons Freeway|32.9688516|-96.91900539999999
2911 Lombardy Lane|32.8668517|-96.8764089
11200 Woodmeadow Parkway|32.851792|-96.646496
4800 Monarch Street|32.8073812|-96.77924209999999
3330 Pluto Street|32.7831888|-96.8914076
3100 Birmingham Street|32.770031|-96.762095
6271 Highland Hills Drive|32.671967|-96.760843
800 Stemmons Freeway|32.7702981|-96.8070467
4526 Humphrey Avenue|32.70541|-96.762253
1521 N. Cockrell Hill Road|32.7651506|-96.8969218
18081 Midway Road|32.9953425|-96.8441892
2900 Wheatland Road|32.645786|-96.866862
1613 Monte Carlo Street|32.706125|-96.846425
7700 Denton Drive|32.838271|-96.8513251
6800 Larmanda Street|32.8673367|-96.7473459
2745 W. Northwest Highway|32.8584366|-96.8743133
10333 Technology Boulevard|32.863133|-96.89794499999999
4800 S. Lancaster Road|32.6903788|-96.7913875
4791 W. Ledbetter Drive|32.692969|-96.90292799999999
2505 Pacific Avenue|32.7848377|-96.7893912
4950 Wadsworth Drive|32.6990851|-96.7599182
733 Cliffview Drive|32.7044672|-96.67210519999999
1400 N. Garrett Avenue|32.8057965|-96.77122899999999
1900 Empire Central|32.8258067|-96.85706859999999
2100 N. Lamar Street|32.784661|-96.80779799999999
3812 Tioga Street|32.664027|-96.75735
nd 2120 52       Street|32.7766642|-96.79698789999999
2000 Edd Road|32.6789224|-96.6089758
2745 Ivandell Road|32.7368049|-96.865438
200 Ezekial Street|32.7148354|-96.7106613
3902 Frank Street|32.771629|-96.749158
5716 Winton Street|32.835413|-96.76936
5215 Belmont Avenue|32.815123|-96.780733
14500 Dallas North Parkway|32.9455035|-96.8223798
10008 Mesita Drive|32.738817|-96.6516259
3303 W. Illinois Avenue|32.720699|-96.874708
2000 Pacific Avenue|32.7831728|-96.79458299999999
12222 Merit Drive|32.9140139|-96.7714894
4200 Malden Street|32.6934181|-96.8068024
2802 Materhorn Drive|32.828359|-96.66649799999999
10222 N. Walton Walker Boulevard|32.7780382|-96.91630959999999
2600 Walnut Hill Lane|32.8810299|-96.890298
1300 N. Munger Boulevard|32.8056656|-96.7688646
2015 Ferndale Street|32.725267|-96.853393
13015 Audelia Road|32.92476|-96.719088
3701 Crane Street|32.786453|-96.880945
3810 Bonnie View Road|32.712916|-96.7747
3100 W. Davis Street|32.749324|-96.871583
8059 LBJ Freeway|32.9255161|-96.76790659999999
1170 N. Prairie Creek Road|32.732129|-96.66558649999999
7175 Wild Briar Lane|32.7391792|-96.57955820000001
9616 C. F. Hawn Freeway|32.7030016|-96.65603890000001
230 S. Riverfront Boulevard|32.7755045|-96.8132117
6417 Ridgecrest Road|32.867179|-96.75265399999999
7152 Fair Oaks Avenue|32.8735563|-96.7568385
2550 W. Redbird Lane|32.6699846|-96.85970669999999
2000 Commerce Street|32.7809527|-96.79396360000001
2500 Wells Street|32.7396632|-96.75418119999999
2900 Spruce Valley Lane|32.7138903|-96.8761401
3800 Dilido Street|32.7984992|-96.6881925
400 S. Houston Street|32.7764148|-96.8056124
12121 Audelia Road|32.9137078|-96.7226467
3700 Penelope Street|32.7713314|-96.7524863
11700 Audelia Road|32.9081226|-96.71727829999999
2502 Grand Avenue|32.768664|-96.77459700000001
2700 Medill Street|32.7752948|-96.7673241
1180 N. St. Augustine Road|32.7323596|-96.656922
17601 Marsh Lane|32.9905306|-96.856301
3000 Lombardy Lane|32.8664165|-96.8753414
400 S. Llewellyn Avenue|32.7422754|-96.83212189999999
5900 Stretch Drive|32.733121|-96.92198959999999
3373 Lombardy Lane|32.866857|-96.867153
2000 Campfire Circle|32.6828374|-96.8554996
7129 Tabor Drive|32.877064|-96.73705799999999
7100 Valley View Lane|32.9274961|-96.7835822
18220 Dallas Parkway|32.9985843|-96.8285958
3600 Folklore Trail|32.6986735|-96.8410843
4345 W. Camp Wisdom Road|32.6623486|-96.8905554
200 S. Pearl Street|32.7828431|-96.7924381
3803 Mural Lane|32.763696|-96.7335504
3851 Casa Del Sol Lane|32.851685|-96.654501
12670 E. Northwest Highway|32.862898|-96.662881
3716 Spring Avenue|32.768897|-96.74839899999999
800 N. Winnetka Avenue|32.7524088|-96.8402818
8400 Forney Road|32.7779003|-96.6760989
9500 Castlefield Drive|32.75228250000001|-96.66004269999999
4542 W. Kiest Boulevard|32.7053529|-96.8971598
/ois/docs/narrative/2014/OIS_2014_912B.pdf,912B,1/2/2014,2728 McKinnon Street,Deceased,Handgun,Schmidt, Michael W/M,Ortiz, Manuel L/M Wilcox, Robert W/M Scoggins, Jason W/M    Evangelista, Derreck W/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_37894B.pdf,37894B,2/15/2014,13030 Audelia Road,Injured,Handgun,Perkins, Rakeem B/M,Burns, Joshua W/M Varillas, Salvador L/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_40931B.pdf,40931B,2/19/2014,4200 Elmira Street,Injured,Handgun,Hernandez, Rene L/M,Casey, John W/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_79223B.pdf,79223B,4/4/2014,1221 S. Lamar Street,Deceased,Knife,Bullard, Codi W/M,Moore, Jacqueline W/F,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_94757B.pdf,94757B,4/21/2014,3314 W. Camp Wisdom Road,Deceased,Handgun,Mayo, Michael W/M,Hamilton, Robert A/M Milligan, Marshall W/M Huante, Gerardo L/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_125236B.pdf,125236B,5/24/2014,6048 Belmont Avenue,Shoot and Miss,Handgun,Calderon, Richard L/M,Bryant, Derek B/M,N/A,,,||
/ois/docs/narrative/2014/OIS_2014_143229-2014.pdf,143229‐2014,6/14/2014,8124 Forest Lane,Shoot and Miss,Vehicle,McClinton, Jacquinn B/F,Mondy, Michael B/M,N/A,,,||
/ois/docs/narrative/2014/OIS_2014_143473-2014.pdf,143473‐2014,6/14/2014,208 Glencairn Drive,Deceased,Screwdriver,Harrison, Jason B/M,Rogers, John W/M Hutchins, Andrew W/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_154184-2014.pdf,154184‐2014,6/26/2014,3000 Lantana Lane,Deceased,Handgun,Hodge, Rodney B/M,Tena, Edward L/M Bowling, Joseph W/M Sansom, Dameon B/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_166059-2014.pdf,166059‐2014,7/10/2014,500 S. Llewellyn Avenue,Shoot and Miss,Handgun,Everardo, Trevino L/M,Berry, Jeffrey W/M Arrivillaga, Daniel L/M,N/A,,,||
/ois/docs/narrative/2014/OIS_2014_192024-2014.pdf,192024‐2014,8/10/2014,400 S. Rosemont Avenue,Deceased,Unarmed,Gaynier, Andrew W/M,Hudson, Antonio L/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_192550-2014.pdf,192550‐2014,8/11/2014,3647 Espanola Drive,Deceased,Knife,Gonzalez, Jose L/M,Gladden, Kevin W/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_200830-2014.pdf,200830‐2014,8/20/2014,7921 LBJ Freeway,Injured,Handgun,Groessel, Terence W/M,Jankowski, Jay W/M Herczeg, Michelle W/F,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_201507-2014.pdf,201507‐2014,8/21/2014,4800 Veterans Drive,Injured,Handgun,Campbell, Ladarius B/M,Martinez, Ruben Jr. L/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_204701-2014.pdf,204701‐2014,8/25/2014,9000 Lake June Road,Deceased,Handgun,Douglas, Steven B/M,Moreno, Rogelio L/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_206124-2014.pdf,206124‐2014,8/27/2014,13739 N. Central Expressway,Deceased,Handgun,Ramos, Sergio L/M,Gamez, Jose L/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_216145-2014.pdf,216145‐2014,9/7/2014,1550 Empire Central,Deceased,Vehicle,Allen, Joel W/M,DeWilde, Michael W/M,Pending,,,||
/ois/docs/narrative/2014/OIS_2014_236112-2014.pdf,236112‐2014,10/1/2014,4807 Maple Avenue,Shoot and Miss,Airsoft Handgun,Cupples, Jimmy Jr. W/M,Walls, Ryan W/M,N/A,,,||
/ois/docs/narrative/2014/OIS_2014_254101-2014.pdf,254101‐2014,10/22/2014,9770 Forest Lane,Shoot and Miss,Unarmed,McGee, Gregory B/M,Johnson, Michael B/M,N/A,,,||
/ois/docs/narrative/2014/OIS_2014_298185-2014.pdf,298185-2014,12/16/2014,6185 Retail Road,Injured,Knife,Puckett, Jonathan W/M,Moody, Larry B/M,Pending,,,||
/ois/docs/narrative/2013/OIS_2013_2315A.pdf,2315A,1/3/2013,1515 S. Buckner Boulevard,Shoot and Miss,Vehicle,Unknown L/M,Ned, Charles B/M Phelps, Farie B/M,N/A,,,||
/ois/docs/narrative/2013/OIS_2013_5567A.pdf,5567A,1/7/2013,4322 Fernwood Avenue,Shoot and Miss,Handgun,Glover, Derrick B/M,Palk, Devon W/M Dorward, Christopher W/M Sharkey, Johnathan L/M    Nilsen, Christopher W/M Banes, Matthew W/M,N/A,,,||
