Cohord data for $thing
CDS|Name|NumGraduates|NumDropouts
CDS	Name	NumGraduates	NumDropouts
00000000000000	Statewide	706	635
00000000000000	Statewide	770	506
00000000000000	Statewide	1208	372
00000000000000	Statewide	1312	311
00000000000000	Statewide	1338	534
00000000000000	Statewide	1476	1141
00000000000000	Statewide	1595	428
00000000000000	Statewide	2198	329
00000000000000	Statewide	2336	227
00000000000000	Statewide	2520	683
00000000000000	Statewide	2933	962
00000000000000	Statewide	4534	556
00000000000000	Statewide	5939	667
00000000000000	Statewide	6063	411
00000000000000	Statewide	10790	2845
00000000000000	Statewide	11650	6409
00000000000000	Statewide	12002	1078
00000000000000	Statewide	13574	4734
00000000000000	Statewide	20075	1381
00000000000000	Statewide	20309	1889
00000000000000	Statewide	25224	11143
00000000000000	Statewide	34385	13296
00000000000000	Statewide	40384	3270
00000000000000	Statewide	53015	27264
00000000000000	Statewide	65106	10004
00000000000000	Statewide	65433	6755
00000000000000	Statewide	75210	28538
00000000000000	Statewide	84154	20168
00000000000000	Statewide	130539	16759
00000000000000	Statewide	159364	48706
00000000000000	Statewide	183664	49377
00000000000000	Statewide	195312	34921
00000000000000	Statewide	204189	60309
00000000000000	Statewide	378976	84298
01000000000000	Alameda	28	45
01000000000000	Alameda	36	13
01000000000000	Alameda	37	30
01000000000000	Alameda	65	75
01000000000000	Alameda	71	23
01000000000000	Alameda	103	32
01000000000000	Alameda	110	31
01000000000000	Alameda	122	14
01000000000000	Alameda	138	53
01000000000000	Alameda	213	63
01000000000000	Alameda	219	24
01000000000000	Alameda	401	59
01000000000000	Alameda	406	33
01000000000000	Alameda	807	92
01000000000000	Alameda	828	534
01000000000000	Alameda	1000	435
01000000000000	Alameda	1451	705
01000000000000	Alameda	1491	511
01000000000000	Alameda	1569	96
01000000000000	Alameda	1621	492
01000000000000	Alameda	1635	140
01000000000000	Alameda	1649	881
01000000000000	Alameda	1828	969
01000000000000	Alameda	1995	228
01000000000000	Alameda	2003	140
01000000000000	Alameda	3072	1197
01000000000000	Alameda	3204	236
01000000000000	Alameda	3998	368
01000000000000	Alameda	5825	2149
01000000000000	Alameda	6598	1767
01000000000000	Alameda	6879	1280
01000000000000	Alameda	13477	3047
01100170000000	Alameda County Office of Education	28	45
01100170000000	Alameda County Office of Education	36	13
01100170000000	Alameda County Office of Education	37	30
01100170000000	Alameda County Office of Education	65	75
01100170000000	Alameda County Office of Education	71	23
01100170000000	Alameda County Office of Education	103	32
01100170000000	Alameda County Office of Education	110	31
01100170000000	Alameda County Office of Education	122	14
01100170000000	Alameda County Office of Education	138	53
01100170000000	Alameda County Office of Education	213	63
01100170000000	Alameda County Office of Education	219	24
01100170000000	Alameda County Office of Education	401	59
01100170000000	Alameda County Office of Education	807	92
01100170000000	Alameda County Office of Education	828	534
01100170000000	Alameda County Office of Education	1000	435
01100170000000	Alameda County Office of Education	1451	705
01100170000000	Alameda County Office of Education	1491	511
01100170000000	Alameda County Office of Education	1569	96
01100170000000	Alameda County Office of Education	1621	492
01100170000000	Alameda County Office of Education	1635	140
01100170000000	Alameda County Office of Education	1649	881
01100170000000	Alameda County Office of Education	1828	969
01100170000000	Alameda County Office of Education	1995	228
01100170000000	Alameda County Office of Education	2003	140
01100170000000	Alameda County Office of Education	3072	1197
01100170000000	Alameda County Office of Education	3204	236
01100170000000	Alameda County Office of Education	3998	368
01100170000000	Alameda County Office of Education	5825	2149
01100170000000	Alameda County Office of Education	6598	1767
01100170000000	Alameda County Office of Education	6879	1280
01100170000000	Alameda County Office of Education	13477	3047
01100170109835	FAME Public Charter	49	15
01100170109835	FAME Public Charter	49	15
01100170130401	Alameda County Juvenile Hall/Court	28	45
01100170130401	Alameda County Juvenile Hall/Court	37	30
01100170130401	Alameda County Juvenile Hall/Court	65	75
01100170130401	Alameda County Juvenile Hall/Court	71	23
01100170130401	Alameda County Juvenile Hall/Court	103	32
01100170130401	Alameda County Juvenile Hall/Court	122	14
01100170130401	Alameda County Juvenile Hall/Court	138	53
01100170130401	Alameda County Juvenile Hall/Court	213	63
01100170130401	Alameda County Juvenile Hall/Court	219	24
01100170130401	Alameda County Juvenile Hall/Court	828	534
01100170130401	Alameda County Juvenile Hall/Court	1000	435
01100170130401	Alameda County Juvenile Hall/Court	1451	705
01100170130401	Alameda County Juvenile Hall/Court	1491	511
01100170130401	Alameda County Juvenile Hall/Court	1569	96
01100170130401	Alameda County Juvenile Hall/Court	1621	492
01100170130401	Alameda County Juvenile Hall/Court	1635	140
01100170130401	Alameda County Juvenile Hall/Court	1649	881
01100170130401	Alameda County Juvenile Hall/Court	1828	969
01100170130401	Alameda County Juvenile Hall/Court	1995	228
01100170130401	Alameda County Juvenile Hall/Court	2003	140
01100170130401	Alameda County Juvenile Hall/Court	3072	1197
01100170130401	Alameda County Juvenile Hall/Court	3204	236
01100170130401	Alameda County Juvenile Hall/Court	3998	368
01100170130401	Alameda County Juvenile Hall/Court	5825	2149
01100170130401	Alameda County Juvenile Hall/Court	6598	1767
01100170130401	Alameda County Juvenile Hall/Court	6879	1280
01100170130401	Alameda County Juvenile Hall/Court	13477	3047
01100170130419	Alameda County Community	28	45
01100170130419	Alameda County Community	65	75
01100170130419	Alameda County Community	103	32
01100170130419	Alameda County Community	138	53
01100170130419	Alameda County Community	213	63
01100170130419	Alameda County Community	401	59
01100170130419	Alameda County Community	807	92
01100170130419	Alameda County Community	828	534
01100170130419	Alameda County Community	1000	435
01100170130419	Alameda County Community	1451	705
01100170130419	Alameda County Community	1491	511
01100170130419	Alameda County Community	1569	96
01100170130419	Alameda County Community	1621	492
01100170130419	Alameda County Community	1635	140
01100170130419	Alameda County Community	1649	881
01100170130419	Alameda County Community	1828	969
01100170130419	Alameda County Community	1995	228
01100170130419	Alameda County Community	2003	140
01100170130419	Alameda County Community	3072	1197
01100170130419	Alameda County Community	3204	236
01100170130419	Alameda County Community	3998	368
01100170130419	Alameda County Community	5825	2149
01100170130419	Alameda County Community	6598	1767
01100170130419	Alameda County Community	6879	1280
01100170130419	Alameda County Community	13477	3047
01100170130427	Alameda County Opportunity	36	13
01100170130427	Alameda County Opportunity	71	23
01100170130427	Alameda County Opportunity	110	31
01100170130427	Alameda County Opportunity	138	53
01100170130427	Alameda County Opportunity	213	63
01100170130427	Alameda County Opportunity	1000	435
01100170130427	Alameda County Opportunity	1451	705
01100170130427	Alameda County Opportunity	1491	511
01100170130427	Alameda County Opportunity	1569	96
01100170130427	Alameda County Opportunity	1621	492
01100170130427	Alameda County Opportunity	1649	881
01100170130427	Alameda County Opportunity	1828	969
01100170130427	Alameda County Opportunity	2003	140
