Cohord data for 2011-2012
CDS|Name|NumGraduates|NumDropouts
CDS	Name	NumGraduates	NumDropouts
00000000000000	Statewide	40772	2452
00000000000000	Statewide	395098	65429
00000000000000	Statewide	25799	8638
00000000000000	Statewide	1098	805
00000000000000	Statewide	12466	728
00000000000000	Statewide	179371	39103
00000000000000	Statewide	2900	737
00000000000000	Statewide	2457	492
00000000000000	Statewide	6484	731
00000000000000	Statewide	123751	11743
00000000000000	Statewide	61885	23471
00000000000000	Statewide	20074	987
00000000000000	Statewide	203125	25575
00000000000000	Statewide	13658	3490
00000000000000	Statewide	554	348
00000000000000	Statewide	6083	264
00000000000000	Statewide	94274	15355
00000000000000	Statewide	1549	316
00000000000000	Statewide	1272	197
00000000000000	Statewide	3381	278
00000000000000	Statewide	62280	4340
00000000000000	Statewide	20698	1465
00000000000000	Statewide	191973	39854
00000000000000	Statewide	12141	5148
00000000000000	Statewide	544	457
00000000000000	Statewide	6383	464
00000000000000	Statewide	85097	23748
00000000000000	Statewide	1351	421
00000000000000	Statewide	1185	295
00000000000000	Statewide	3103	453
00000000000000	Statewide	61471	7403
00000000000000	Statewide	8980	1927
00000000000000	Statewide	236935	52797
00000000000000	Statewide	34761	9684
01000000000000	Alameda	3283	204
01000000000000	Alameda	13654	2250
01000000000000	Alameda	1744	691
01000000000000	Alameda	41	34
01000000000000	Alameda	860	56
01000000000000	Alameda	3386	893
01000000000000	Alameda	54	16
01000000000000	Alameda	203	49
01000000000000	Alameda	411	39
01000000000000	Alameda	3672	268
01000000000000	Alameda	2035	720
01000000000000	Alameda	1589	71
01000000000000	Alameda	6991	904
01000000000000	Alameda	931	314
01000000000000	Alameda	25	15
01000000000000	Alameda	406	16
01000000000000	Alameda	1835	332
01000000000000	Alameda	104	25
01000000000000	Alameda	212	18
01000000000000	Alameda	1858	107
01000000000000	Alameda	1694	133
01000000000000	Alameda	6663	1346
01000000000000	Alameda	813	377
01000000000000	Alameda	16	19
01000000000000	Alameda	454	40
01000000000000	Alameda	1551	561
01000000000000	Alameda	99	24
01000000000000	Alameda	199	21
01000000000000	Alameda	1814	161
01000000000000	Alameda	109	36
01000000000000	Alameda	6504	1768
01000000000000	Alameda	1578	380
01100170000000	Alameda County Office of Education	3283	204
01100170000000	Alameda County Office of Education	13654	2250
