Date|CDS|Name|NumGraduates|NumDropouts
0910|19000000000000|Los Angeles|9142|1048|
0910|19101990000000|Los Angeles County Office of Education|9142|1048|9300 Imperial Hwy.|Downey
0910|19101990121871|Los Padrinos Juvenile Hall|9142|1048|9300 Imperial Hwy.|Downey
0910|19101991933399|L.A. County High School for the Arts|9142|1048|5151 State University Dr.|Los Angeles
0910|19101991995232|Los Angeles County Special Education|9142|1048|9300 Imperial Hwy.|Downey
0910|19101991995240|Los Angeles County Juvenile Hall/Community|9142|1048|9300 Imperial Hwy.|Downey
0910|19101991995257|Alternative Opportunity Programs|9142|1048|9300 Imperial Hwy.|Downey
0910|19101991995869|International Polytechnic High|9142|1048|3801 West Temple Ave., Bldg. 128-16|Pomona
0910|19101991996008|Soledad Enrichment Action Charter High|9142|1048|222 North Virgil Ave.|Los Angeles
0910|19101991996164|Antelope Valley Community Day|9142|1048|5506 W Avenue L8, Rm. D-11|Lancaster
0910|19101991996172|East Los Angeles Community Day|9142|1048|1260 South Monterey Pass Rd.|Monterey Park
0910|19101991996180|Eastern Community Day|9142|1048|5777 South Lockheed Ave.|Whittier
0910|19101991996214|Renaissance Community Day|9142|1048|14600 Cerise Ave.|Hawthorne
0910|19101991996222|Tri Community PAU|9142|1048|12721 South Willowbrook Ave.|Compton
0910|19000000000000|Los Angeles|48169|10621|
0910|19101990000000|Los Angeles County Office of Education|48169|10621|9300 Imperial Hwy.|Downey
0910|19101990121822|Nidorf, Barry J. Juvenile Hall|48169|10621|9300 Imperial Hwy|Downey
0910|19101990121871|Los Padrinos Juvenile Hall|48169|10621|9300 Imperial Hwy.|Downey
0910|19101991933399|L.A. County High School for the Arts|48169|10621|5151 State University Dr.|Los Angeles
0910|19101991995232|Los Angeles County Special Education|48169|10621|9300 Imperial Hwy.|Downey
0910|19101991995240|Los Angeles County Juvenile Hall/Community|48169|10621|9300 Imperial Hwy.|Downey
0910|19101991995257|Alternative Opportunity Programs|48169|10621|9300 Imperial Hwy.|Downey
0910|19101991995869|International Polytechnic High|48169|10621|3801 West Temple Ave., Bldg. 128-16|Pomona
0910|19101991996008|Soledad Enrichment Action Charter High|48169|10621|222 North Virgil Ave.|Los Angeles
0910|19101991996164|Antelope Valley Community Day|48169|10621|5506 W Avenue L8, Rm. D-11|Lancaster
0910|19101991996172|East Los Angeles Community Day|48169|10621|1260 South Monterey Pass Rd.|Monterey Park
0910|19101991996180|Eastern Community Day|48169|10621|5777 South Lockheed Ave.|Whittier
0910|19101991996214|Renaissance Community Day|48169|10621|14600 Cerise Ave.|Hawthorne
0910|19101991996222|Tri Community PAU|48169|10621|12721 South Willowbrook Ave.|Compton
0910|33000000000000|Riverside|6885|1250|
0910|33103300000000|Riverside County Office of Education|6885|1250|PO Box 868|Riverside
0910|33103303330123|Riverside County Juvenile Court|6885|1250|PO Box 868|Riverside
0910|33103303330404|Riverside County Opportunity|6885|1250|PO Box 868|Riverside
0910|33103303331055|Riverside County Community|6885|1250|PO Box 868|Riverside
0910|33103306069207|Riverside County Special Education|6885|1250|PO Box 868|Riverside
0910|33316250000000|California School for the Deaf-Riverside (State Special Schl)|6885|1250|3044 Horace St.|Riverside
0910|33316253330834|California School for the Deaf-Riverside|6885|1250|3044 Horace St.|Riverside
0910|37000000000000|San Diego|6485|1279|
0910|37103710000000|San Diego County Office of Education|6485|1279|6401 Linda Vista Rd.|San Diego
0910|37103710115915|East Region Community|6485|1279|8374 Hercules St.|La Mesa
0910|37103710115923|South Region Community|6485|1279|800 National City Blvd., Ste 110|National City
0910|37103710115931|Hope Region Community|6485|1279|808 West Cedar St.|San Diego
0910|37103710115949|Metro Region Community|6485|1279|210 West Ash St.|San Diego
0910|37103710115956|North Region Community|6485|1279|255 Pico Ave.|San Marcos
0910|37103710115964|Mountain Region Court|6485|1279|957 Forrest Gate Rd.|Campo
0910|37103710115972|Mesa Region Court|6485|1279|2801 Meadow Lark Dr.|San Diego
0910|37103710115998|San Pasqual Academy|6485|1279|17701 San Pasqual Valley Rd.|Escondido
0910|37103710116020|East Region Court|6485|1279|8374 Hercules St.|San Diego
0910|37103710116038|North Region Court|6485|1279|255 Pico Ave.|San Marcos
0910|37103716069355|San Diego County Special Education|6485|1279|6401 Linda Vista Rd., Rm. 409|San Diego
1011|00000000000000|Statewide|20086|1025|
1011|01000000000000|Alameda|6849|1065|
1011|01100170000000|Alameda County Office of Education|6849|1065|313 West Winton Ave.|Hayward
1011|01100170130401|Alameda County Juvenile Hall/Court|6849|1065|2500 Fairmont Ave.|San Leandro
1011|01100170130419|Alameda County Community|6849|1065|313 West Winton Ave.|Hayward
1011|01100170130427|Alameda County Opportunity|6849|1065|313 West Winton Ave.|Hayward
1011|01316090000000|California School for the Blind (State Special Schl)|6849|1065|500 Walnut Ave.|Fremont
1011|01316090131755|California School for the Blind|6849|1065|500 Walnut Ave.|Fremont
1011|01316170000000|California School for the Deaf-Fremont (State Special Schl)|6849|1065|39350 Gallaudet Dr.|Fremont
1011|01316170131763|California School for the Deaf-Fremont|6849|1065|39350 Gallaudet Dr.|Fremont
1011|37000000000000|San Diego|6625|1123|
1011|37103710000000|San Diego County Office of Education|6625|1123|6401 Linda Vista Rd.|San Diego
1011|37103710115915|East Region Community|6625|1123|8374 Hercules St.|La Mesa
1011|37103710115923|South Region Community|6625|1123|800 National City Blvd., Ste 110|National City
1011|37103710115931|Hope Region Community|6625|1123|808 West Cedar St.|San Diego
1011|37103710115949|Metro Region Community|6625|1123|210 West Ash St.|San Diego
1011|37103710115956|North Region Community|6625|1123|255 Pico Ave.|San Marcos
1011|37103710115964|Mountain Region Court|6625|1123|957 Forrest Gate Rd.|Campo
1011|37103710115972|Mesa Region Court|6625|1123|2801 Meadow Lark Dr.|San Diego
1011|37103710115998|San Pasqual Academy|6625|1123|17701 San Pasqual Valley Rd.|Escondido
1011|37103710116012|Metro Region Court|6625|1123|210 West Ash St.|San Diego
1011|37103710116020|East Region Court|6625|1123|8374 Hercules St.|San Diego
1011|37103710116038|North Region Court|6625|1123|255 Pico Ave.|San Marcos
1011|37103710124677|East Region Community School of Greater El Cajon|6625|1123|8374 Hercules St.|La Mesa
1011|37103710124701|North Region Community School of Greater Oceanside|6625|1123|255 Pico Ave., Ste. 101|San Marcos
1011|37103710124719|North Region Community School of Greater San Marcos|6625|1123|255 Pico Ave., Ste. 101|San Marcos
1011|37103711996545|North Coastal Consortium Schools|6625|1123|255 Pico Ave.|San Marcos, CA
1011|37103716069355|San Diego County Special Education|6625|1123|6401 Linda Vista Rd., Rm. 409|San Diego
1011|34000000000000|Sacramento|7547|1238|
1011|34103480000000|Sacramento County Office of Education|7547|1238|PO Box 269003|Sacramento
1011|34103480106229|Palmiter Special Education|7547|1238|PO Box 269003|Sacramento
1011|34103480106237|Elinor Lincoln Hickey Jr./Sr. High|7547|1238|PO Box 269003|Sacramento
1011|34103480106245|North Area Community|7547|1238|PO Box 269003|Sacramento
1011|34103480106278|El Centro Jr./Sr. High|7547|1238|PO Box 269003|Sacramento
1011|34103480106286|Morgan Jr./Sr. High|7547|1238|PO Box 269003|Sacramento
1011|34103480106294|Sacramento County SH Special Education|7547|1238|PO Box 269003|Sacramento
1011|34103480106302|Sacramento County ED Special Education|7547|1238|PO Box 269003|Sacramento
1011|34103480118745|Gerber Jr./Sr. High|7547|1238|PO Box 269003|Sacramento
1011|36000000000000|San Bernardino|7549|1348|
1011|36103630000000|San Bernardino County Office of Education|7549|1348|601 North E St.|San Bernardino
1011|36103630107466|Community School/Independent Alternative Education|7549|1348|244South D St.|San Bernardino
1011|36103630123364|Bob Murphy County Community Day|7549|1348|149 North Arrowhead Ave.|Rialto
1011|36103630123372|High Desert Juvenile Detention and Assessment Center|7549|1348|21101 Dale Evans Pkwy.|Apple Valley
1011|36103633630431|San Bernardino County Juvenile Detention and Assessment Center|7549|1348|601 N. E St.|San Bernardino
1011|36103633630969|Desert Mountain Community Day|7549|1348|15733 First St.|Victorville
1011|36103633630977|East Valley Community Day|7549|1348|1812 West Park Ave.|Redlands
1011|36103633630985|West End Community Day|7549|1348|5033 Holt Blvd.|Montclair
1011|36103636069348|San Bernardino County Special Education|7549|1348|601 N. E St.|San Bernardino
1011|30000000000000|Orange|18389|1711|
1011|30103060000000|Orange County Department of Education|18389|1711|PO Box 9050|Costa Mesa
1112|00000000000000|Statewide|94274|15355|
1112|37000000000000|San Diego|16134|1637|
1112|37103710000000|San Diego County Office of Education|16134|1637|6401 Linda Vista Rd.|San Diego
1112|37103710115923|South Region Community|16134|1637|800 National City Blvd., Ste 110|National City
1112|37103710115931|Hope Region Community|16134|1637|808 West Cedar St.|San Diego
